user_id,product,rating
User-1,AC-Collection-Calming-Foam-Cleanser,5
User-1,Acne-Clarifying-2In1-Cleanser,4
User-1,White-Expert-2in1-Cleanser-&-Toner,2
User-1,Noni-Probiotics-"Balance-Me"-Fine-Toner,4
User-1,Bright-Beauty-Skin-Perfecting-Cream-SPF30,2
User-2,Acne-Clarifying-2In1-Cleanser,2
User-2,White-Expert-2in1-Cleanser-&-Toner,5
User-2,Ultra-Sheer-Dry-Touch-Sunscreen-SPF50+,4
User-2,Hydrasoothe-Sunscreen-Mist,3
User-3,AC-Collection-Calming-Foam-Cleanser,4
User-3,Oily-Cleanser-Wash,1
User-3,Acne-Clarifying-2In1-Cleanser,4
User-3,Cica-Chocomint-Clay-Mask,2
User-4,Oily-Cleanser-Wash,5
User-4,Acne-Clarifying-2In1-Cleanser,2
User-4,White-Expert-2in1-Cleanser-&-Toner,5
User-4,Noni-Probiotics-"Balance-Me"-Fine-Toner,3
User-4,Cica-Care-Toner,4
User-5,Oily-Cleanser-Wash,4
User-5,Hydra-Boost-Oil-Free-Moisturizer,5
User-5,Noni-Probiotics-"Balance-Me"-Fine-Toner,4
User-5,Mugwort-Pore-Clarifyng-Mask,5
User-5,Perfect-Shield-Sunscreen-Normal-to-Dry-Skin,2
User-6,White-Expert-2in1-Cleanser-&-Toner,1
User-6,Luxurious-Face-Oil,3
User-6,Bright-Beauty-Skin-Perfecting-Cream-For-Oily-Skin,5
User-6,Hydrabio-Gel-Crème,3
User-6,Hydrasoothe-Sunscreen-Mist,4
User-7,White-Expert-2in1-Cleanser-&-Toner,2
User-7,Luxurious-Face-Oil,4
User-7,Hydra-Boost-Oil-Free-Moisturizer,5
User-7,Perfect-Shield-Sunscreen-Normal-to-Dry-Skin,4
User-8,White-Expert-2in1-Cleanser-&-Toner,4
User-8,Hydrabio-Gel-Crème,4
User-8,Mugwort-Pore-Clarifyng-Mask,1
User-8,Noni-Probiotics-"Balance-Me"-Fine-Toner,2
User-8,Perfect-Shield-Sunscreen-Normal-to-Dry-Skin,5
User-8,Bright-Beauty-Skin-Perfecting-Cream-SPF30,4
User-8,Hydrasoothe-Sunscreen-Mist,3
User-9,White-Expert-2in1-Cleanser-&-Toner,5
User-9,Hydrabio-Gel-Crème,5
User-9,Charcoal-Mineral-Black-Ampoule-Mask,2
User-9,Peel-Off-Mask-Peach,4
User-9,Blueberry-Rebalancing-Skin,4
User-9,White-Willow-Toner-Essence,3
User-10,Oily-Cleanser-Wash,4
User-10,Hydra-Boost-Oil-Free-Moisturizer,4
User-10,Charcoal-Mineral-Black-Ampoule-Mask,4
User-10,Noni-Probiotics-"Balance-Me"-Fine-Toner,2
User-10,Ultra-Sheer-Dry-Touch-Sunscreen-SPF50+,1
User-10,Hydrasoothe-Sunscreen-Mist,1
User-11,White-Expert-2in1-Cleanser-&-Toner,1
User-11,Bright-Beauty-Skin-Perfecting-Cream-For-Oily-Skin,3
User-11,Charcoal-Mineral-Black-Ampoule-Mask,1
User-11,Noni-Probiotics-"Balance-Me"-Fine-Toner,5
User-11,Cica-Care-Toner,2
User-11,Hydrasoothe-Sunscreen-Mist,2
User-12,Acne-Clarifying-2In1-Cleanser,2
User-12,Bright-Beauty-Skin-Perfecting-Cream-For-Oily-Skin,2
User-12,Charcoal-Mineral-Black-Ampoule-Mask,3
User-12,Peel-Off-Mask-Peach,2
User-12,Blueberry-Rebalancing-Skin,3
User-12,Cica-Care-Toner,5
User-12,Ultra-Sheer-Dry-Touch-Sunscreen-SPF50+,3
Usesr-12,Hydrasoothe-Sunscreen-Mist,4
